,String,etc,Author,Title,Journal,Year,Volume,Release,Start page,End page,Link
99,"Молчан Н. С., Полушин Ю. С., Жлоба А. А. и др. Влияние анестезии с пролонгированным использованием десфлурана и севофлурана на этапе искусственного кровообращения на функцию сердца при операциях аортокоронарного шунтирования // Вестник анестезиологии и реаниматологии. – 2017. – Т. 14, № 4. – С. 23–31. https://doi.org/10.21292/2078-5658-2017-14-4-23-31.",и др. // – – – С.,"Молчан Н. С., Полушин Ю. С., Жлоба А. А.",Влияние анестезии с пролонгированным использованием десфлурана и севофлурана на этапе искусственного кровообращения на функцию сердца при операциях аортокоронарного шунтирования анестезиологии и,Вестник реаниматологии.,2017. 4.,"Т. 14,",№,-,23–31.,-
100,"Мороз В. В., Добрушина О. Р., Стрельникова Е. П. и др. Предикторы кар­диальных осложнений операций на органах брюшной полости и малого таза у больных пожилого и старческого возраста // Общая реанимато­логия. - 2011. - Т. 7, № 5. - С. 26-31. doi: 10.15360/1813-9779-2011-5-26.",и др. // - - - С. doi:,"Мороз В. В., Добрушина О. Р., Стрельникова Е. П.",Предикторы кар­диальных осложнений операций на органах брюшной полости и малого таза у больных пожилого и старческого возраста,Общая реанимато­логия.,2011.,"Т. 7,",№ 5.,-,26-31.,10.15360/1813-9779-2011-5-26.
101,"Мороз В. В., Лихванцев В. В., Федоров С. А. и др. Общая анестезия с сохраненным спонтанным дыханием через интубационную трубку // Общая реаниматология. – 2010. – Т. 6, № 4. – С. 43–48. https://doi.org/10.15360/1813-9779-2010-4-43.",и др. // – – – С.,"Мороз В. В., Лихванцев В. В., Федоров С. А.",Общая анестезия с сохраненным спонтанным дыханием через интубационную трубку,Общая реаниматология.,2010. 4.,"Т. 6,",№,-,43–48.,-
102,"Мороз В. В., Черныш В. В., Козлова Е. К. Коронавирус SARS-CoV-2: гипотеза влияния на кровеносную систему, перспективы использования перфторуглеродной эмульсии, возможности биофизических методов исследования // Общая реаниматология. – 2020. – Т. 16, № 3. – С. 4–13. https://doi.org/10.15360/1813-9779-2020-3-0-1.",// – – – С.,"Мороз В. В., Черныш В. В., Козлова Е. К.","Коронавирус SARS-CoV-2: гипотеза влияния на кровеносную систему, перспективы использования перфторуглеродной эмульсии, возможности биофизических методов исследования",Общая реаниматология.,2020. 3.,"Т. 16,",№,-,4–13.,-
103,Мурашко М.А. Организация оказания медицинской помощи пациентам с новой коронавирусной инфекцией COVID-19 // Вестник Росздравнадзора. – 2020. – № 4. – С. 6–14. DOI: https://doi.org/10.35576/2070-7940-2020-4-6-14.,// – – № – С. DOI:,Мурашко М.А.,Организация оказания медицинской помощи пациентам с новой коронавирусной инфекцией COVID-19,Вестник Росздравнадзора. 6–14.,2020. 4.,-,-,-,-,-
104,"Налетов А. В., Шапченко Т. И., Масюта Д. И. Эффективность использования витамина D с целью формирования пищевой толерантности к белкам коровьего молока у детей с пищевой аллергией // Педиатр. – 2019. – Т. 10, № 4. – С. 25–29. doi: 10.17816/ped10425-29.",// – – – С. doi:,"Налетов А. В., Шапченко Т. И., Масюта Д. И.",Эффективность использования витамина D с целью формирования пищевой толерантности к белкам коровьего молока у детей с пищевой аллергией,Педиатр. 25–29.,2019. 4.,"Т. 10,",№,-,-,10.17816/ped10425-29.
105,"Налетов А. В., Шапченко Т. И., Свистунова Н. А. и др. Обеспеченность витамином D детей первого года жизни, страдающих пищевой аллергией и проживающих в условиях военного конфликта в Донбассе // Педиатр. – 2020. – Т. 11, № 2. – С. 51–56. doi: 10.17816/ped11251-56.",и др. // – – – С. doi:,"Налетов А. В., Шапченко Т. И., Свистунова Н. А.","Обеспеченность витамином D детей первого года жизни, страдающих пищевой аллергией и проживающих в условиях военного конфликта в Донбассе",Педиатр. 51–56.,2020. 2.,"Т. 11,",№,-,-,10.17816/ped11251-56.
106,"Пирадов М. А., Супонева Н. А., Вознюк И. А. и др. Хронические нарушения сознания: терминология и диагностические критерии. Результаты первого заседания Российской рабочей группы по проблемам хронических нарушений сознания // Анналы клинической и экспериментальной неврологии. – 2020 – Т. 14, № 1. – С. 5–16. doi: 10.25692/ACEN.2020.1.1.",и др. критерии. // – – – С. doi:,"Пирадов М. А., Супонева Н. А., Вознюк И. А.",Хронические нарушения сознания: терминология и диагностические Результаты первого заседания Российской рабочей группы по проблемам хронических нарушений сознания клинической и экспериментальной,Анналы неврологии. 5–16.,1.,"Т. 14,",2020 №,-,-,10.25692/ACEN.2020.1.1.
107,"Пирадов М. А., Супонева Н. А., Вознюк И. А. и др. Хронические нарушения сознания: терминология и диагностические критерии. Результаты первого заседания Российской рабочей группы по проблемам хронических нарушений сознания // Анналы клинической и экспериментальной неврологии. – 2020 – Т. 14, № 1. – С. 5–16. doi: 10.25692/ACEN.2020.1.1.",и др. критерии. // – – – С. doi:,"Пирадов М. А., Супонева Н. А., Вознюк И. А.",Хронические нарушения сознания: терминология и диагностические Результаты первого заседания Российской рабочей группы по проблемам хронических нарушений сознания клинической и экспериментальной,Анналы неврологии. 5–16.,1.,"Т. 14,",2020 №,-,-,10.25692/ACEN.2020.1.1.
108,"Полушин Ю. С., Древаль Р. О., Заботина А. Н. Клинико-экономическая оценка терапии острого повреждения почек при сепсисе продолжительными комбинированными методами заместительной почечной терапии // Вестн. анестезиологии и реаниматологии. -2021. - Т. 18, № 5. - С. 7-20. Doi:10.21292/2078-5658-2021-18-5-7-20.",// реаниматологии. - - С.,"Полушин Ю. С., Древаль Р. О., Заботина А. Н.",Клинико-экономическая оценка терапии острого повреждения почек при сепсисе продолжительными комбинированными методами заместительной почечной терапии анестезиологии и,Вестн.,-2021.,"Т. 18,",№ 5.,-,7-20.,Doi:10.21292/2078-5658-2021-18-5-7-20.
109,"Полушин Ю. С., Молчан Н. С., Жлоба А. А. и др. Доперфузионный уровень лактата и лактат-пируватного соотношения как критерий прогноза развития постперфузионной сердечной недостаточности при операции реваскуляризации миокарда в условиях искусственного кровообращения // Вестник анестезиологии и реаниматологии. – 2016. – Т. 13, № 4. – С. 19–28. https://doi.org/10.21292/2078-5658-2016-13-4-19-28.",и др. // – – – С.,"Полушин Ю. С., Молчан Н. С., Жлоба А. А.",Доперфузионный уровень лактата и лактат-пируватного соотношения как критерий прогноза развития постперфузионной сердечной недостаточности при операции реваскуляризации миокарда в условиях искусственного кровообращения анестезиологии и,Вестник реаниматологии.,2016. 4.,"Т. 13,",№,-,19–28.,-
110,"Полушин Ю. С., Полушин А. Ю., Юкина Г. Ю. и др. Послеоперационная когнитивная дисфункция – что мы знаем и куда двигаться далее // Вестник анестезиологии и реаниматологии. – 2019. – Т. 16, № 1. – С. 19–28. https://doi.org/10.21292/2078-5658-2019-16-1-19-28.",и др. // – – – С.,"Полушин Ю. С., Полушин А. Ю., Юкина Г. Ю.",Послеоперационная когнитивная дисфункция – что мы знаем и куда двигаться далее анестезиологии и,Вестник реаниматологии.,2019. 1.,"Т. 16,",№,-,19–28.,-
111,"Полушин Ю. С., Соколов Д. В., Белоусов Д. Ю., Чеберда А. Е. Фармакоэкономическая оценка интермиттирующей и продолжительной заместительной почечной терапии // Вестн. анестезиологии и реаниматологии. - 2017. - Т. 14, № 6. - С. 6-20. Doi: 10.21292/2078-5658-2017-14-6-6-20.",// реаниматологии. - - - С. Doi:,"Полушин Ю. С., Соколов Д. В., Белоусов Д. Ю., Чеберда А. Е.",Фармакоэкономическая оценка интермиттирующей и продолжительной заместительной почечной терапии анестезиологии и,Вестн.,2017.,"Т. 14,",№ 6.,-,6-20.,10.21292/2078-5658-2017-14-6-6-20.
112,"Потехина Ю. П., Филатов Д. С. Pоль лимбической системы в генезе психовисцеросоматических расстройств // Российский остеопатический журнал. – 2017. – № 1–2. – С. 78–87. https://doi.org/10.32885/2220-0975-2017-1-2-78-87.",// – – № – С.,"Потехина Ю. П., Филатов Д. С.",Pоль лимбической системы в генезе психовисцеросоматических расстройств,Российский остеопатический журнал.,2017. 1–2.,-,-,-,78–87.,-
113,"Потиевская В. И., Шветский Ф. М., Сидоров Д. В. и др. Оценка влияния ксенона на интенсивность послеоперационного болевого синдрома у онкологических пациентов: рандомизированное исследование // Вестник интенсивной терапии им. А. И. Салтанова. – 2021. – № 3. – С. 140–150. doi: 10.21320/1818-474X-2021-3-140-150.",и др. // им. – – № – С. doi:,"Потиевская В. И., Шветский Ф. М., Сидоров Д. В.",Оценка влияния ксенона на интенсивность послеоперационного болевого синдрома у онкологических пациентов: рандомизированное исследование интенсивной терапии,Вестник А. И. Салтанова. 140–150.,2021. 3.,-,-,-,-,10.21320/1818-474X-2021-3-140-150.
114,"Пшениснов К. В., Александрович Ю. С., Казиахмедов В. А. и др. Новая коронавивусная инфекция у детей с сопутствующими заболеваниями: шанс на выздоровление есть всегда // Журнал инфектологии. - 2020. - Т. 12, № 3. - С. 80-89. doi: https://doi.org/10.22625/2072-6732-2020-12-3-80-89.",и др. // - - - С. doi:,"Пшениснов К. В., Александрович Ю. С., Казиахмедов В. А.",Новая коронавивусная инфекция у детей с сопутствующими заболеваниями: шанс на выздоровление есть всегда,Журнал инфектологии.,2020.,"Т. 12,",№ 3.,-,80-89.,-
115,"Пшениснов К. В., Александрович Ю. С., Казиахмедов В. А. и др. Новая коронавирусная инфекция у детей с сопутствующими заболеваниями: шанс на выздоровление есть всегда // Журнал инфектологии. – 2020. – Т. 12, № 3. – С. 80–89. doi.org/10.22625/2072-6732-2020-12-3-80-89.",и др. // – – – С.,"Пшениснов К. В., Александрович Ю. С., Казиахмедов В. А.",Новая коронавирусная инфекция у детей с сопутствующими заболеваниями: шанс на выздоровление есть всегда,Журнал инфектологии.,2020. 3.,"Т. 12,",№,-,80–89.,doi.org/10.22625/2072-6732-2020-12-3-80-89.
116,"Распопин Ю. С., Шифман Е. М., Белинина А. А. и др. Эффективность и безопасность применения терлипрессина при кесаревом сечении у беременных с высоким риском кровотечения: многоцентровое всенаправленное когортное исследование Terli-Bleed. Часть II // Вопросы гинекологии, акушерства и перинатологии. – 2021. – Т. 20, № 2. – С. 26–32. doi: 10.20953/1726-1678-2021-6-20-28.",и др. // – – – С. doi:,"Распопин Ю. С., Шифман Е. М., Белинина А. А.","Эффективность и безопасность применения терлипрессина при кесаревом сечении у беременных с высоким риском кровотечения: многоцентровое всенаправленное когортное исследование Terli-Bleed. Часть II гинекологии, акушерства и",Вопросы перинатологии. 26–32.,2021. 2.,"Т. 20,",№,-,-,10.20953/1726-1678-2021-6-20-28.
117,"Ратманов М. А., Бенян А. С., Кузнецова Т. В. и др. Реабилитация после эндопротезирования суставов нижних конечностей: проблемы и перспективы // Политравма. – 2020. – № 2. – С. 76–83. doi: 10.24411/1819-1495-2020-10023.",и др. // – – № – С. doi:,"Ратманов М. А., Бенян А. С., Кузнецова Т. В.",Реабилитация после эндопротезирования суставов нижних конечностей: проблемы и перспективы,Политравма. 76–83.,2020. 2.,-,-,-,-,10.24411/1819-1495-2020-10023.
118,"Резник О. Н., Скворцов А. Е., Теплов В. М. Применение экстракорпоральной мембранной оксигенации в практике сердечно-легочной реанимации: обзор и перспективы технологии // Вестн. хирургии им. И. И. Грекова. – 2018. – Т. 177, № 4. – С. 92–97. Doi:10.24884/0042-4625-2018-177-4-92-97.",// хирургии им. – – – С.,"Резник О. Н., Скворцов А. Е., Теплов В. М.",Применение экстракорпоральной мембранной оксигенации в практике сердечно-легочной реанимации: обзор и перспективы технологии,Вестн. И. И. Грекова.,2018. 4.,"Т. 177,",№,-,92–97.,Doi:10.24884/0042-4625-2018-177-4-92-97.
119,"Розенко Д. А., Шихлярова А. И., Попова Н. Н. и др. Оценка эффективности купирования послеоперационной боли и нормализация адаптационного статуса у пациенток с онкопатологией репродуктивной системы // Южно-Российский онкологический журнал. – 2020. – № 2 (1). – С. 14–25. doi.org/10.37748/2686-9039-2021-2-1-2.",и др. // – – (1). – С.,"Розенко Д. А., Шихлярова А. И., Попова Н. Н.",Оценка эффективности купирования послеоперационной боли и нормализация адаптационного статуса у пациенток с онкопатологией репродуктивной системы онкологический,Южно-Российский журнал.,2020.,-,№ 2,-,14–25.,doi.org/10.37748/2686-9039-2021-2-1-2.
120,Ройтман Е. В. Know-how лабораторной диагностики состояния системы свертывания крови // Российский журнал детской онкологии и гематологии. – 2015. – № 1. – С. 27–35. doi.org/10.17650/2311-1267-2015-1-27-35.,// – – № – С.,Ройтман Е. В.,Know-how лабораторной диагностики состояния системы свертывания крови журнал детской онкологии и,Российский гематологии.,2015. 1.,-,-,-,27–35.,doi.org/10.17650/2311-1267-2015-1-27-35.
121,"Рубцов М. С., Шукевич Д. Л. Современные экстракорпоральные методы лечения критических состояний, обусловленных системным воспалительным ответом // Анестезиология и реаниматология. - 2019. - № 4. -С. 20-30. Doi: 10.17116/anaesthesiology201904120.",// реаниматология. - - 4. Doi:,"Рубцов М. С., Шукевич Д. Л.","Современные экстракорпоральные методы лечения критических состояний, обусловленных системным воспалительным ответом",Анестезиология и,2019.,-,№,-,-С. 20-30.,10.17116/anaesthesiology201904120.
122,"Рудь И. М., Мельникова Е. А., Рассулова М. А. и др. Реабилитация больных после эндопротезирования суставов нижних конечностей // Вопросы курортологии, физиотерапии и лечебной физической культуры. – 2017. – № 6. – С. 38–44. doi 10.17116/kurort201794638-44.",и др. // – – № – С. doi,"Рудь И. М., Мельникова Е. А., Рассулова М. А. 38–44.","Реабилитация больных после эндопротезирования суставов нижних конечностей курортологии, физиотерапии и лечебной физической",Вопросы культуры.,2017. 6.,-,-,-,-,10.17116/kurort201794638-44.
123,"Рюмин В. Е., Кинжалова С. В., Чистякова Г. Н. и др. Использование неинвазивной респираторной поддержки в лечении респираторного дистресс-синдрома новорожденных // Вестник анестезиологии и реаниматологии. - 2020. - Т. 17, № 5. - С. 71-79. Doi: 10.21292/2078-5658-2020-17-5-71-79.",и др. // реаниматологии. - - - С. Doi:,"Рюмин В. Е., Кинжалова С. В., Чистякова Г. Н.",Использование неинвазивной респираторной поддержки в лечении респираторного дистресс-синдрома новорожденных анестезиологии и,Вестник,2020.,"Т. 17,",№ 5.,-,71-79.,10.21292/2078-5658-2020-17-5-71-79.
124,"Самотруева М. А., Ясенявская А. Л., Цибизова А. А. и др. Нейроиммуноэндокринология: современные представления о молекулярных механизмах // Immunology. – 2017. – Т. 38, № 1. – С. 49–59. doi: 10.18821/0206-4952-2017-38-1-49-59.",и // – – – С. doi:,"Самотруева М. А., Ясенявская А. Л., Цибизова А. А.",Нейроиммуноэндокринология: современные представления о молекулярных механизмах,др. Immunology. 49–59.,2017. 1.,"Т. 38,",№,-,-,10.18821/0206-4952-2017-38-1-49-59.
125,"Самсонян Э. Х., Курганов И. А., Богданов Д. Ю. Современные представления о хирургических методах лечения больных с варикозно-расширенными венами пищевода и желудка // Эндоскопическая хирургия. – 2016. – № 5. – С. 43–48. http://doi.org/10.17116/endoskop201622543-48.",// – – № – С.,"Самсонян Э. Х., Курганов И. А., Богданов Д. Ю.",Современные представления о хирургических методах лечения больных с варикозно-расширенными венами пищевода и желудка,Эндоскопическая хирургия.,2016. 5.,-,-,-,43–48.,-
126,"Саскин В. А., Панкратьев С. Е., Антонов И. Б. и др. Комбинированная интервенционная терапия инфаркта головного мозга средней мозговой артерии // Вестник анестезиологии и реаниматологии. – 2017 – Т. 14, № 1. – С. 67–71. https://doi.org/10.21292/2078-5658-2017-14-1-67-71.",и др. // – – – С.,"Саскин В. А., Панкратьев С. Е., Антонов И. Б.",Комбинированная интервенционная терапия инфаркта головного мозга средней мозговой артерии анестезиологии и,Вестник реаниматологии.,1.,"Т. 14,",2017 №,-,67–71.,-
127,"Сергеев Е. А., Шмелев М. И., Гельцер Б. И. и др. Ультраструктурные характеристики эритроцитов и их взаимосвязь с транспортом кислорода у больных ишемической болезнью сердца после коронарного шунтирования с искусственным кровообращением // Бюллетень физиологии и патологии дыхания. – 2021. – Т. 81. – С. 70–77. doi.org/10.36604/1998-5029-2021-81-70-77.",и др. // – – Т. – С.,"Сергеев Е. А., Шмелев М. И., Гельцер Б. И.",Ультраструктурные характеристики эритроцитов и их взаимосвязь с транспортом кислорода у больных ишемической болезнью сердца после коронарного шунтирования с искусственным кровообращением физиологии и патологии,Бюллетень дыхания. 81.,2021.,-,-,-,70–77.,doi.org/10.36604/1998-5029-2021-81-70-77.
128,"Синбухова Е. В., Лубнин А. Ю., Попугаев К. А. Эмоциональное выгорание в анестезиологии-реаниматологии // Журнал им. Н. В. Склифосовского «Неотложная медицинская помощь». – 2019. – Т. 8, № 2. – С. 186–193. doi: 10.23934/2223-9022-2019-8-2-186-193.",// – – – С. doi:,"Синбухова Е. В., Лубнин А. Ю., Попугаев К. А. им. В.",Эмоциональное выгорание в анестезиологии-реаниматологии Склифосовского «Неотложная,Журнал Н. медицинская помощь». 186–193.,2019. 2.,"Т. 8,",№,-,-,10.23934/2223-9022-2019-8-2-186-193.
129,"Скворцов А. Е., Резник О. Н., Комедев С. С. Перспективы применения экстракорпоральной мембранной оксигенации в практике сердечно-легочной реанимации // Скорая медицинская помощь. – 2018. – Т. 19, № 1. – С. 72–76. Doi:10.24884/2072-6716-2018-19-1-72-76.",// – – – С.,"Скворцов А. Е., Резник О. Н., Комедев С. С.",Перспективы применения экстракорпоральной мембранной оксигенации в практике сердечно-легочной реанимации,Скорая медицинская помощь.,2018. 1.,"Т. 19,",№,-,72–76.,Doi:10.24884/2072-6716-2018-19-1-72-76.
130,"Слуханчук Е. В., Бицадзе В. О., Хизроева Д. Х. и др. Тромбоциты, тромбовоспаление и онкологический процесс // Акушерство, гинекология и репродукция. – 2021. – Т. 15, № 6. – С. 755–776. doi.org/10.17749/2313-7347/ob.gyn.rep.2021.274.",и др. // – – – С.,"Слуханчук Е. В., Бицадзе В. О., Хизроева Д. Х. Тромбоциты,",тромбовоспаление и онкологический процесс гинекология и,"Акушерство, репродукция.",2021. 6.,"Т. 15,",№,-,755–776.,doi.org/10.17749/2313-7347/ob.gyn.rep.2021.274.
131,"Смирнова М. И., Антипушина Д. Н., Драпкина О. М. Возможные варианты применения гелиево-кислородной смеси при острой респираторной патологии и в условиях пандемии COVID-19 // Профилактическая медицина. – 2020. – Т. 23, № 7. – С. 78–84. doi: 10.17116/profmed20202307178.",// – – – С. doi:,"Смирнова М. И., Антипушина Д. Н., Драпкина О. М.",Возможные варианты применения гелиево-кислородной смеси при острой респираторной патологии и в условиях пандемии COVID-19,Профилактическая медицина. 78–84.,2020. 7.,"Т. 23,",№,-,-,10.17116/profmed20202307178.
132,"Соколов C. В., Заболотский Д. В., Корячкин В. А. Профилактика послеоперационного делирия у больных пожилого и старческого возраста в ортопедической практике // Регионарная анестезия и лечение острой боли. -2018. - Т. 12, № 1. - С. 41-46. Doi: 10.18821/1993-6508-2018-12-1-41-46.",// боли. - - С. Doi:,"Соколов C. В., Заболотский Д. В., Корячкин В. А.",Профилактика послеоперационного делирия у больных пожилого и старческого возраста в ортопедической практике анестезия и лечение острой,Регионарная,-2018.,"Т. 12,",№ 1.,-,41-46.,10.18821/1993-6508-2018-12-1-41-46.
133,"Соколова О. П., Макарова А. В., Серезвин И. С. и др. Опыт применения гелиокса в лечении вирусной пневмонии при COVID-19 // Медицинский альянс. – 2021. – Т. 9, № 2. – С. 8–14. doi: 10.36422/23076348-2021-9-2-8-14.",и др. // – – – С. doi:,"Соколова О. П., Макарова А. В., Серезвин И. С.",Опыт применения гелиокса в лечении вирусной пневмонии при COVID-19,Медицинский альянс. 8–14.,2021. 2.,"Т. 9,",№,-,-,10.36422/23076348-2021-9-2-8-14.
134,"Стерджесс Дж , Клэппы JT , Флейшер Л. А. Общий Decisio н-м принимая к в расчете я-о императивна медицине: повествовательной Реви ш // анестезиологии. - 2019. - Вып. 74 (Приложение 1). - Р. 13 -19 . doi: 10.111 1 / a nae.14504.",// - - (Приложение - -19 doi:,Стерджесс Флейшер Л. А.,", Клэппы , Общий Decisio н-м принимая к в расчете я-о императивна медицине: повествовательной Реви ш 13 /",Дж JT анестезиологии. . a,2019.,74 10.111 1,1).,-,Вып. Р.,nae.14504.
135,"Строев Ю. И., Соболевская П. А., Чурилов Л. П. и др. Роль гипокальциемии и витамина D3 в патогенезе фобий при хроническом аутоиммунном тироидите Хасимото // Педиатр. – 2017. – Т. 8, № 4. – С. 39–42. doi: 10.17816/ped8439-42.",и др. // – – – С. doi:,"Строев Ю. И., Соболевская П. А., Чурилов Л. П.",Роль гипокальциемии и витамина D3 в патогенезе фобий при хроническом аутоиммунном тироидите Хасимото,Педиатр. 39–42.,2017. 4.,"Т. 8,",№,-,-,10.17816/ped8439-42.
136,"Стукалов А. В., Лахин Р. Е., Ершов Е. Н. Клинический случай применения ESP-блока в торакальной хирургии // Регионарная анестезия и лечение острой боли. - 2021. - Т. 15., № 1. - С. 57-62. Doi: 10.17816/1993-6508-2021-15-1-57-62.",// боли. - - № - С. Doi:,"Стукалов А. В., Лахин Р. Е., Ершов Е. Н.",Клинический случай применения ESP-блока в торакальной хирургии анестезия и лечение острой,"Регионарная 15.,",2021.,Т.,1.,-,57-62.,10.17816/1993-6508-2021-15-1-57-62.
137,"Сумин А. Н. Актуальные вопросы оценки и коррекции риска кардиальных осложнений при некардиальных операциях // Рациональная фарма­котерапия в кардиологии. - 2020. - Т. 16, № 5. - С. 749-758. doi:10.20996/1819-6446-2020-10-08.",// кардиологии. - - - С.,Сумин А. Н.,Актуальные вопросы оценки и коррекции риска кардиальных осложнений при некардиальных операциях фарма­котерапия,Рациональная в,2020.,"Т. 16,",№ 5.,-,749-758.,doi:10.20996/1819-6446-2020-10-08.
138,"Сумин С. А., Горбачев В. И., Ярославкин Р. А., Шаповалов К. Г., Гребеньков А. Б. Основные понятия и термины, рекомендуемые к использованию при экспертной оценке неблагоприятного исхода заболевания и неблагоприятного результата оказания медицинской помощи по специальности «анестезиология-реаниматология» // Анестезиология и реаниматология. - 2022. - № 1. - С. 111-117. Doi: 10.17116/anaesthesiology2022011111.",// реаниматология. - - - С. Doi:,"Сумин С. А., Горбачев В. И., Ярославкин Р. А., Шаповалов К. Г., Гребеньков А. Б.","Основные понятия и термины, рекомендуемые к использованию при экспертной оценке неблагоприятного исхода заболевания и неблагоприятного результата оказания медицинской помощи по специальности «анестезиология-реаниматология»",Анестезиология и,2022.,-,№ 1.,-,111-117.,10.17116/anaesthesiology2022011111.
139,"Сумин С. А., Кузьков В. В., Горбачев В. И., Шаповалов К. Г. Рекомендации по проведению катетеризации подключичной и других центральных вен // Вестн. интенсивной терапии имени А. И. Салтанова. - 2020. -№ 1. - С. 7-18. Doi: 10.21320/1818-474X-2020-1-7-18.",// А. - 2020. - С. Doi:,"Сумин С. А., Кузьков В. В., Горбачев В. И., Шаповалов К. Г. -№",Рекомендации по проведению катетеризации подключичной и других центральных вен интенсивной терапии имени,Вестн. И. Салтанова. 1.,-,-,-,-,7-18.,10.21320/1818-474X-2020-1-7-18.
140,"Тарасов Д. А., Лычагин А. В., Рукин Я. А. и др. Послеоперационное обезболивание при тотальном эндопротезировании коленного сустава: сравнительный анализ эффективности современных методик // Травматология и ортопедия России. – 2019. – Т. 25, № 2. – С. 31–41. doi: 10.21823/2311-2905-2019-25-2-31-41.",и др. // – – – С. doi:,"Тарасов Д. А., Лычагин А. В., Рукин Я. А.",Послеоперационное обезболивание при тотальном эндопротезировании коленного сустава: сравнительный анализ эффективности современных методик и ортопедия,Травматология России. 31–41.,2019. 2.,"Т. 25,",№,-,-,10.21823/2311-2905-2019-25-2-31-41.
141,"Теплов В. М., Комедев С. С., Скворцов А. Е. Первый опыт применения экстракорпоральной мембранной оксигенации в комплексе расширенной сердечно-легочной реанимации в стационарном отделении скорой медицинской помощи // Скорая медицинская помощь. – 2018. – Т. 19, № 1. – С. 67–71. Doi:10.24884/2072-6716-2018-19-1-67-71.",// – – – С.,"Теплов В. М., Комедев С. С., Скворцов А. Е.",Первый опыт применения экстракорпоральной мембранной оксигенации в комплексе расширенной сердечно-легочной реанимации в стационарном отделении скорой медицинской помощи,Скорая медицинская помощь.,2018. 1.,"Т. 19,",№,-,67–71.,Doi:10.24884/2072-6716-2018-19-1-67-71.
142,"Теплов В. М., Комедев С. С., Скворцов А. Е. Экстренный пациент с невосстановленным сердечным ритмом как комплексная проблема догоспитального и госпитального этапов скорой медицинской помощи // Скорая медицинская помощь. – 2018. – Т. 19, № 4. – С. 17–21. Doi:10.24884/2072-6716-2018-19-4-17-21.",// – – – С.,"Теплов В. М., Комедев С. С., Скворцов А. Е.",Экстренный пациент с невосстановленным сердечным ритмом как комплексная проблема догоспитального и госпитального этапов скорой медицинской помощи,Скорая медицинская помощь.,2018. 4.,"Т. 19,",№,-,17–21.,Doi:10.24884/2072-6716-2018-19-4-17-21.
143,"Титова О. Н., Кузубова Н. А., Александров А. Л. и др. Особенности центральной гемодинамики у больных внебольничной пневмонией в зависимости от течения заболевания и сердечно-сосудистой коморбидности // Терапевтический архив. – 2019. – Т. 91, № 12. – С. 29–34. https://doi.org/10.26442/00403660.2019.12.000441.",и др. // – – – С.,"Титова О. Н., Кузубова Н. А., Александров А. Л.",Особенности центральной гемодинамики у больных внебольничной пневмонией в зависимости от течения заболевания и сердечно-сосудистой коморбидности,Терапевтический архив.,2019. 12.,"Т. 91,",№,-,29–34.,-
144,"Троцюк Д. В., Медведев Д. С., Зарипова З. А. и др. Риски периоперационных осложнений у пациентов старших возрастных групп: причины, механизмы, возможности прогнозирования // РМЖ. Медицинское обозрение. – 2021. – Т. 5, № 3. – С. 150–155. https://doi.org/10.32364/2587-6821-2021-5-3-150-155.",и др. // – – – С.,"Троцюк Д. В., Медведев Д. С., Зарипова З. А. Медицинское","Риски периоперационных осложнений у пациентов старших возрастных групп: причины, механизмы, возможности прогнозирования",РМЖ. обозрение.,2021. 3.,"Т. 5,",№,-,150–155.,-
145,"Тюрин И. Н., Раутбарт С. А., Проценко Д. Н. и др. Биомаркер напряжения миокарда NT-proBNP у больных с абдоминальным сепсисом и септическим шоком // Патология кровообращения и кардиохирургия. – 2020. – Т. 24, № 1. – С. 65–77. http://dx.doi.org/10.21688/1681-3472-2020-1-65-77.",и др. // – – – С.,"Тюрин И. Н., Раутбарт С. А., Проценко Д. Н.",Биомаркер напряжения миокарда NT-proBNP у больных с абдоминальным сепсисом и септическим шоком кровообращения и,Патология кардиохирургия.,2020. 1.,"Т. 24,",№,-,65–77.,-
146,"Унжаков В. В., Нетесин Е. С., Горбачев В. И. Спорные вопросы системной токсичности местных анестетиков // Вестник анестезиологии и реаниматологии. – 2020. – Т. 17, № 1. – С. 46–51. DOI: 10.21292/2078-5658-2020-",// – – – С. DOI:,"Унжаков В. В., Нетесин Е. С., Горбачев В. И.",Спорные вопросы системной токсичности местных анестетиков анестезиологии и,Вестник реаниматологии. 46–51.,2020. 1.,"Т. 17,",№,-,-,10.21292/2078-5658-2020-
147,"Устьянцева И. М., Зинченко М. А., Гусельникова Ю. А. и др. SARS-CoV-2. Маркеры воспаления // Политравма. – 2020. – № 4. – С. 35–43. doi: 10.24411/1819-1495-2020-10044.",и др. // – – № – С. doi:,"Устьянцева И. М., Зинченко М. А., Гусельникова Ю. А. SARS-CoV-2.",Маркеры воспаления,Политравма. 35–43.,2020. 4.,-,-,-,-,10.24411/1819-1495-2020-10044.
148,"Фабрикантов О. Л., Проничкина М. М. Капилляроскопические параметры микроциркуляции ногтевого ложа (обзор литературы) // Сибирский научный медицинский журнал. - 2018. - Т. 38, № 2. - С. 62-67. https://doi.org/10.15372/SSMJ20180210.",литературы) журнал. - - - С.,"Фабрикантов О. Л., Проничкина М. М.",Капилляроскопические параметры микроциркуляции ногтевого ложа (обзор // научный медицинский,Сибирский,2018.,"Т. 38,",№ 2.,-,62-67.,-
